,log2MIC_VAN,log2MIC_GEN,log2MIC_CAZ,log2MIC_CIP,log2MIC_AMC,log2MIC_ERY
0,5.469176851702703,,,,3.398087286783304,2.98176553589932
1,4.833452012045948,,,,3.026447078165184,4.572134626950945
2,-0.8763760340736562,,4.925111898421658,,,6.233227266178293
3,0.8521432036460823,,6.238700179386165,,,1.2854998423000055
4,0.19598337203516603,,6.802131292738392,,,3.3128230514876797
5,-0.2040222313598643,,3.088264771086692,,,1.9494450580923783
6,-1.5319392082515433,,6.930085092176213,,0.269038667399107,-2.179848395525694
7,-1.5320115684310533,,3.3445287210587895,,2.0652169587788416,-2.6796219313193155
8,-1.8257437279138664,,6.2575471505479525,-8.316330926002534,,5.1721257241466185
9,0.5985292095913042,,4.121339139987827,-5.500144416500378,,-3.6088556093703836
10,,,3.5287187875154897,,0.9917958189417584,-2.716675183029292
11,,,4.75942265987002,,0.24013808686879323,-3.6696424046873326
12,5.348053372239697,,,,3.3355573215201906,1.634348007670019
13,4.789885955791227,,,,3.976020161848944,4.988846793271499
14,4.720563202406018,,,,4.4523990376657006,2.717085739698974
15,4.4744456504175885,,-0.6401087359573494,-6.634046792863273,3.87355559902968,2.193501460282574
16,5.010866647419173,,-1.6842370729861855,-4.62069506797798,3.329378187972077,6.618115392861825
17,-0.1966526628973997,,5.57582638199821,,,1.1111481684604214
18,0.12421941803374437,,4.523807491731105,,,3.626664036895283
19,-1.9382408651323246,,3.2182618036275095,3.3073315150190417,2.247871512109075,1.1297626605175295
20,0.909729730129264,,5.397844630866791,-7.9023935840814135,,-4.71841504534126
21,2.6344207246413176,,,-3.4560797659549447,4.62532582964363,3.9015586611347555
22,5.523483079762499,,,-2.6327460467073314,5.748134952560872,4.006284626684656
23,5.487374157203599,,,-7.6639346147030345,5.587557626737699,2.929975317685454
24,0.4973288893360157,,6.609613122042987,,,1.7929712911629356
25,-1.3629781225564268,,4.532861575018016,,,-1.029207541477346
26,-1.4545203768798918,,3.865331251847401,-8.134202792687908,,-4.542631657694242
27,-1.4497817580560675,3.817265677086973,4.770309484255117,,,3.2583256762480426
28,-1.0872692560643542,0.6246493349347639,3.193451015810412,,2.4686089873219705,-4.765194680618786
29,-0.42572796258261447,-1.290280175252926,6.281950370293806,,6.974177101673391,5.033577876007652
30,-0.7041616659597909,0.18011030113213322,6.305363275117902,,1.692033608652758,-1.4930249341183037
31,-1.1263084892532365,1.938679046565419,5.35200192801722,,-0.8121395604926774,-3.833745314721589
32,2.1169894822632256,1.7495526273074569,-0.22880423834202057,-7.8060231124555015,3.587795479402058,5.694375008834959
